analysis_id,0708qvf0l7l91p7
gene_symbol,Extl1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
parameter_name,Lymphocyte differential count
gene_accession_id,MGI:1888742
pvalue,0.1754584
