parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
gene_symbol,Kifap3
pvalue,0.2015752
mouse_strain,C57BL
analysis_id,bs9d6539v5v51zx
gene_accession_id,MGI:107566
