parameter_name,Blood Vessel Morphology
analysis_id,55uk1pl6291g4m8
gene_symbol,Orc2
mouse_life_stage,E9.5
pvalue,0.7467642
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
