gene_symbol,Usp37
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:2442483
pvalue,0.4814521
analysis_id,zs98m87u9u9zoux
