parameter_name,Glucose response AUC
pvalue,0.7186305
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
analysis_id,9oze4veazqwz412
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
