gene_symbol,Dmap1
parameter_id,MGP_MLN_013_001
analysis_id,u8v1l2p639myemd
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
pvalue,0.8696219
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
