gene_symbol,Usp37
analysis_id,5mt8b9z567lvhdx
mouse_strain,C57BL
pvalue,0.5585589
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
