gene_symbol,Stk35
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Facial Morphology
pvalue,0.236553
parameter_id,IMPC_GEP_017_001
analysis_id,1ch2whh16079o7j
gene_accession_id,MGI:1914583
