analysis_id,40o74e55crq730t
gene_symbol,Dnajc5b
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1913576
mouse_strain,C57BL
pvalue,0.4313921
mouse_life_stage,Early adult
