analysis_id,v0d92c14v3x6155
parameter_id,IMPC_HEM_039_001
gene_symbol,Mov10
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.9846928
mouse_strain,C57BL
