gene_symbol,Bcs1l
pvalue,0.8702405
mouse_strain,C57BL
analysis_id,cm4051q2wc92f23
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
parameter_id,IMPC_GEO_011_001
