analysis_id,2p2373d3cb63w58
gene_symbol,Hspa5
mouse_life_stage,E12.5
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:95835
parameter_id,MGP_IMM_015_001
mouse_strain,C57BL
pvalue,0.16078
