analysis_id,72oay6jnw7g834z
pvalue,0.7538362
mouse_life_stage,E9.5
parameter_name,KLRG1+ mature NK cell number
gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_id,MGP_PBI_031_001
