analysis_id,ba5i5iep843u09e
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1670902
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
