analysis_id,8565iu07166gbb6
mouse_strain,C57BL
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
gene_symbol,Zcchc2
parameter_id,IMPC_OFD_013_001
pvalue,0.8387303
parameter_name,Periphery average speed
