analysis_id,l94r2ufz55wr962
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_name,Follicular B cells - % of CD45+
pvalue,0.9570808
gene_symbol,Snrpb2
parameter_id,MGP_IMM_112_001
mouse_life_stage,Early adult
