analysis_id,f45020y2lw60aqa
pvalue,0.7908021
parameter_name,Total T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1346088
gene_symbol,Cd52
