analysis_id,p8g5x786izc9lpu
gene_accession_id,MGI:2444554
parameter_id,IMPC_EYE_008_001
mouse_life_stage,E12.5
pvalue,0.8461235
mouse_strain,C57BL
parameter_name,Corneal opacity
gene_symbol,Mapkap1
