gene_symbol,Psmd14
parameter_name,Effector NK cells - % of NK cells
pvalue,0.8921889
gene_accession_id,MGI:1913284
mouse_strain,C57BL
analysis_id,b0w15966g4958ma
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
