parameter_name,Mean platelet volume
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.548073
parameter_id,IMPC_HEM_019_001
analysis_id,9kl4rc72m4nrz7g
gene_symbol,Atf3
gene_accession_id,MGI:109384
