parameter_name,DN NKT cells
analysis_id,19vu1mb3ku1vup3
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_013_001
pvalue,0.3157178
gene_symbol,F2
mouse_strain,C57BL
gene_accession_id,MGI:88380
