analysis_id,0cz3gk0c704ne9a
mouse_life_stage,Early adult
gene_symbol,Rap2b
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1921262
mouse_strain,C57BL
pvalue,0.4040301
parameter_name,Total cholesterol
