analysis_id,4wn6p7c713ma515
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
pvalue,0.4874198
gene_symbol,Ints7
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
