gene_symbol,Dzank1
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:2139080
mouse_life_stage,Early adult
pvalue,0.2910034
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
analysis_id,p51na853cs295pn
