parameter_id,IMPC_CSD_078_001
parameter_name,Vocalization
pvalue,0.6730859
analysis_id,eq6a1ie66801567
mouse_strain,C57BL
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
gene_symbol,Atg4c
