analysis_id,53kbxea8cqdv483
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
pvalue,0.07273174
mouse_life_stage,E18.5
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
