analysis_id,le1opd7g4e869v5
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
gene_symbol,Tox
pvalue,0.1675786
gene_accession_id,MGI:2181659
mouse_strain,C57BL
