analysis_id,pcv8v5atr0q2494
pvalue,0.96018
gene_accession_id,MGI:1915087
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Tiprl
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
