gene_symbol,Arnt
parameter_id,IMPC_IMM_005_002
pvalue,0.9130788
gene_accession_id,MGI:88071
analysis_id,4621w8g47c0g95g
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
mouse_life_stage,Early adult
