parameter_name,Caudal processes
analysis_id,23xgrfnd3p1c465
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
pvalue,0.2815358
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
