parameter_name,Eosinophil number
pvalue,0.6277418
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
analysis_id,2h1579q51xb24r7
gene_symbol,Trim46
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
