gene_symbol,Lurap1
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
analysis_id,1072m7bp4kty475
pvalue,0.6777129
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
