gene_symbol,Dnaaf9
parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.3400291
mouse_strain,C57BL
analysis_id,6k18793lhqxh9kv
