analysis_id,m968770yb0159yf
mouse_life_stage,Early adult
gene_symbol,Snap23
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
pvalue,0.855932
