gene_symbol,Rnf114
parameter_id,MGP_IMM_101_001
analysis_id,6nak2s873iqt95j
pvalue,0.8552869
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1933159
