parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
analysis_id,91fb9e3lhcili1j
gene_symbol,Snap23
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:109356
pvalue,0.5187599
