parameter_name,Calcium
analysis_id,zj7i39v86hh12ei
gene_symbol,Hspa5
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
pvalue,1.125259
