analysis_id,b5g7866mlbl3342
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,Slc45a3
pvalue,0.9460615
gene_accession_id,MGI:1922082
mouse_strain,C57BL
