parameter_name,End-Systolic Diameter
mouse_strain,C57BL
pvalue,0.3079251
analysis_id,f801ch16hszo83r
gene_symbol,Dmap1
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
