parameter_name,Total cholesterol
gene_symbol,Extl1
parameter_id,IMPC_CBC_015_001
analysis_id,sqe215229d4zsxp
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
pvalue,0.06285824
