analysis_id,l5067o321k8d5ov
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
pvalue,0.5180855
gene_symbol,Bmi1
parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
