analysis_id,58axh8yt24cv20f
parameter_name,Neutrophil percentage
mouse_strain,C57BL
pvalue,0.3267123
mouse_life_stage,E12.5
gene_symbol,Mecom
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:95457
