analysis_id,z0h8v5pi42l9rwo
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
gene_symbol,Mapkap1
parameter_name,B2B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
pvalue,0.06090998
