gene_symbol,Sdcbp2
parameter_name,Others
analysis_id,662944s6g74175i
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
pvalue,0.0912336
gene_accession_id,MGI:2385156
