analysis_id,k220g50jq6552l5
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
pvalue,0.329069
