gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_name,Liver weight
analysis_id,s93i7r22hr18986
pvalue,0.3401055
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
