analysis_id,7s836e3ssr19x1m
gene_accession_id,MGI:1919949
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
parameter_name,Others
gene_symbol,Lime1
mouse_life_stage,Early adult
pvalue,0.5081968
