gene_symbol,Mms22l
pvalue,0.5458724
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:2684980
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,pru2o72xs48l414
