gene_symbol,Sfpq
mouse_strain,C57BL
gene_accession_id,MGI:1918764
analysis_id,682721e2s2me08l
parameter_name,Corneal vascularization
pvalue,0.1894328
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
