gene_symbol,Ifi44
analysis_id,tet007r46nlth9k
pvalue,0.8662281
mouse_strain,C57BL
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
parameter_name,Mean right eye lens density
gene_accession_id,MGI:2443016
