analysis_id,00lmia9jh209o73
gene_symbol,Snap23
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
pvalue,0.1047802
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
