gene_symbol,Cisd2
mouse_life_stage,Early adult
analysis_id,t920ff62x99t8cz
parameter_name,Chloride
mouse_strain,C57BL
pvalue,0.9214961
gene_accession_id,MGI:1914256
parameter_id,HMGULA_CBC_003_001
