pvalue,0.3776345
mouse_strain,C57BL
gene_symbol,Kdm5b
analysis_id,2r0c79915cxh9e8
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:1922855
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
