gene_symbol,Tiprl
parameter_name,Eosinophil cell count
mouse_life_stage,E12.5
pvalue,0.5761067
mouse_strain,C57BL
analysis_id,ki474f77p65s263
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:1915087
