analysis_id,12c6uf96i019341
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
gene_accession_id,MGI:1338022
pvalue,0.5163759
gene_symbol,Opn3
