parameter_id,JAXLA_HBD_001_001
pvalue,0.7544
parameter_name,Total holepokes
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
analysis_id,5n525654x293m9i
