analysis_id,s4k8f0i102v5439
mouse_strain,C57BL
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_id,MGP_MLN_015_001
pvalue,0.09809224
parameter_name,Naive CD8+ T cells - % of CD8+
gene_symbol,Hspa5
