analysis_id,j0661lfil8v92o5
mouse_life_stage,Early adult
pvalue,0.06051123
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,C57BL
