gene_symbol,Mgst2
analysis_id,88zyei63tc2lc6l
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
pvalue,0.8845214
parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:2448481
