mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_003_001
analysis_id,oq00rvbk7iusz81
pvalue,0.792501
mouse_strain,C57BL
parameter_name,CV
gene_symbol,AU040320
gene_accession_id,MGI:2140475
