gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_006_001
pvalue,0.1588836
parameter_name,Total protein
mouse_strain,C57BL
analysis_id,kji4g5pbod44og1
