parameter_name,Bone Mineral Content
mouse_strain,C57BL
gene_symbol,Sprr1b
mouse_life_stage,Early adult
analysis_id,38v38mi1y7089ny
pvalue,0.4509
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:106659
