analysis_id,15b0im003z37200
mouse_strain,C57BL
gene_accession_id,MGI:109384
gene_symbol,Atf3
parameter_id,MGP_IMM_028_001
pvalue,0.1610806
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
