analysis_id,6p135006xo3lu25
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
pvalue,0.9506542
parameter_id,MGP_PBI_004_001
gene_symbol,Kcng1
parameter_name,CD8+ alpha beta T cell percentage
